overall_rates,status,title,date,position,location,pros,cons
3,Former Employee,Customer assistant,14-Sep-20, Customer Assistant,"Leeds, England",Alright pay and staff discount,Very Busy Very Boring Long shift
3,Former Employee,na,09-Sep-20, Sales Associate/Cashier,"London, England",The overtime is always paid,"overtime every time, it is not your choice."
5,"Current Employee, less than 1 year",great,01-Sep-20, Sales Associate,"London, England","discount, co workers, discount, discount","hours, crowded, customers, management, sick pay"
4,Current Employee,sales,31-Aug-20, Sales Assistant ,None,"fun, engaging, learn new skils","tiring, late hours, not flexible"
1,"Current Employee, less than 1 year","Horrible management, short breaks, treat their employees like dirt",01-Sep-19, Sales Associate/Cashier,"London, England","25% discount, commission, paid more after 9 months of working there (if you can make it), good job progression","Short breaks, horrible horrible managers, late hours"
1,"Former Employee, more than 1 year",Sweatshop,11-Sep-20, Sale Associate,"London, England",They have a good discount,The worst place to work  management are horrid and they treat you like like you're dirt. They barely promote anyone who isn't ethnically European.
1,Former Employee,Poor management.,01-Oct-20, Sales Associate,"London, England","The discount, that's about it.","Horrible management team, racist, don't care about staff"
2,"Former Employee, less than 1 year",Sales Assistant 30 hours,17-Jun-16, Sales Assistant,"London, England",Not many pros apart that you will work with amazing people and you will meet and make friends very quickly within the team Discount on ZARA and other Inditex brands 25% which is not bad City Weighting and commission make your pay a little bit better,"Zara is a very stressful place of work, it's constantly busy so you literally cannot be tired. You often have to deal with rude customers. Some managers are great, but most of them are rude, unpleasant people to work with. They show off their 'power' treating sales assistant in a bad way so if you don't stand up for yourself you may get bullied easily. Managers and sales assistant speak Spanish all the time, so if you're not Spanish good luck, Spanish are also preferred when it comes to career progression. You won't have a work/life balance as with 30 hours I was already feeling like I was spending my whole life there. Shift patterns are bad : 5 days a week 6hours a day for 30 hours contract and 5 days a week 4 hours a day for 20 hours contract which is just ridiculous. You are not allowed to talk to your coworkers otherwise you get told off. You get file notes for no reason."
2,Former Employee,Unhappy times,14-Apr-17, Sales Assistant,"Covent Garden, England",Met some nice people Pay is decent,"Horrible management with no regards to their employees or customers Favorutisim of Spanish employees and frequently speaking Spanish in front of non Spanish employees. Spanish employees had no repercussions to taking sick days and did not need to have meetings when late or returning to work. Management would often pit employees against each other and spread 'she said, he said' rumours as apparently we'd work better when we're not on friendly terms. Rota would be changed and no warning would be given. I was working night shifts and pay is double. I was changed to day shifts with no word and no reason. This caused me financial strain as I was not able to afford my bills for several months till I left."
3,"Former Employee, more than 1 year",Decent environment,04-Apr-16, Sales Assistant,"London, England"," Colleagues were fun to work with  Generally the customers were very nice people  Management was good, constantly reviewing colleagues  Opportunity for overtime, I worked 40 hours a week for 2 months (during the summer sale) while on a 20 hour contract.  If you're good at your job there's chances of applying for internal roles such as merchandising.  Discount was good (went up to 20%)"," Despite being fun to work with, 70% of my colleagues were either Spanish or Italian which made it very difficult when they spoke in their native languages, which they did all the time unless there's a manager on the shop floor.  The ""commission"" is rubbish, it's something like 1% of the daily sales divided by every colleague that worked that day (calculating how long they worked that day). Keep in mind there was well over 40 employees in the female section  Not enough employees. Meant to have 46 sales assistants on the shop floor, depending on the time, period of sales, etc..., but most of the times there were 3 sales assistants. This made it extremely fast paced, more than what we could possibly do."
1,Former Employee,Horrible working conditions,19-Oct-18, Anonymous Employee ,None,If you see an item of clothing you like you can sometimes get away with storing it away to buy at the end of a shift.,"Horrible management and staff  I was working in the fitting rooms/shop floor and almost everyone I met was bossy even though they were at the same 'level' as me. The management made me solely responsible for the theft that occurred in the fitting rooms, and often called me to the office to shout at me about it in front of other members of staff who shared the office. Also, I'd literally be forced to stay for longer than my shift required. I remember on my first day I was walking off to leave at 8PM, when my shift was supposed to finish, and my managers made me stay until 10PM. It was like that for every 'closing' shift I worked from then on. Not to mention one time a superheavy clothing rack fell on my foot and when I told another member of staff what had happened she yelled at me about how I was late to carry the clothes rack back down, even through my foot was throbbing and I was limping. :) Honestly only I worked there for one Summer three years ago but thinking about my time there still aggrevates me to the core :) Do not work there if you want to maintain your sanity."
1,Former Employee,Management from Hell,07-Oct-20, Cashier,"Bethesda, MD",Isn't much pros to working there,management and everything in between
4,"Former Employee, more than 5 years",Amazing company but really demanding!,27-Jan-19, Retail Sales Consultant,"Chicago, IL",Working at Zara has been excellent! Amazing clothes and a very good business with state of the art stores. Excellent working environment as everything is fast paced and lively. The pay is good so I'm not gonna complain about that. Great colleagues and the management are quite supportive.,"If it wasn't for the following I would have given full 5 stars. Firstly, the job is extremely demanding. The workload is absolutely insane! When your at the tills your working as hard as a machine to get your job done. Most stores are really understaffed and they need to hire more staff as the stores can get really busy. Black Friday, Boxing Day and the summer sales are the worst. You need work your socks off and you get little breaks. Long hours are a major issue and you need to do overtime and tidy up the store after the customers leave a huge mess on sale days. Benifits package could be improved as well."
